Name,MSE,PSNR,fMSE,SE,SSIM,height,width,mask_area
a3630_1_5,3.850365161895752,42.275783288842845,133.36563110351562,94.549696,0.996092677116394,3504,2336,236317.0
a3630_1_1,6.265173435211182,40.16147193726879,217.00767517089844,153.847808,0.9970678687095642,3504,2336,236317.0
a3630_1_2,4.362175464630127,41.7337713060529,151.09327697753906,107.117728,0.9973529577255249,3504,2336,236317.0
a3630_1_3,1.6458244323730469,45.96696591824969,57.006649017333984,40.41492,0.9980760812759399,3504,2336,236317.0
a3630_1_4,18.36298942565918,35.4913695308725,636.0413818359375,450.922176,0.996860146522522,3504,2336,236317.0
a3259_1_2,2.763303518295288,43.716516137262985,55.70351028442383,99.918224,0.9976710081100464,2832,4256,597917.0
a3259_1_1,0.9551451802253723,48.330105176538524,19.254106521606445,34.537072,0.9978439807891846,2832,4256,597917.0
a3259_1_3,1.0333895683288574,47.98815867410372,20.831378936767578,37.366308,0.9978597164154053,2832,4256,597917.0
a3259_1_4,1.7025514841079712,45.819798522025295,34.32054901123047,61.56252,0.9973598718643188,2832,4256,597917.0
a3259_1_5,9.16832447052002,38.50790338755294,184.81785583496094,331.517216,0.9959408640861511,2832,4256,597917.0
a3242_1_4,1.3211681842803955,46.92121925467862,30.17997169494629,50.414256,0.9978684782981873,2912,4368,556818.0
a3242_1_1,1.1636970043182373,47.472400713400795,26.582794189453125,44.405336,0.997384250164032,2912,4368,556818.0
a3242_1_2,1.2586203813552856,47.1318525563526,28.75116729736328,48.027504,0.9974348545074463,2912,4368,556818.0
a3242_1_3,2.6412339210510254,43.91273330210485,60.33475875854492,100.78644,0.9959502220153809,2912,4368,556818.0
a3242_1_5,2.8157639503479004,43.634839621831425,64.32161712646484,107.446304,0.9960240721702576,2912,4368,556818.0
a1803_1_1,0.8422873616218567,48.87619561029187,17.71219825744629,30.322344,0.9972469806671143,4000,3000,570649.0
a1803_1_2,0.8454136848449707,48.86010573618406,17.77794075012207,30.434892,0.9973793029785156,4000,3000,570649.0
a1803_1_3,1.587266206741333,46.12430317134557,33.37812805175781,57.141584,0.9966845512390137,4000,3000,570649.0
a1803_1_4,2.9836390018463135,43.38333939735967,62.74201202392578,107.411,0.9960417151451111,4000,3000,570649.0
a1803_1_5,1.158316731452942,47.49252656321464,24.357879638671875,41.6994,0.9966530799865723,4000,3000,570649.0
a3718_1_2,0.1894584447145462,55.35564100767745,79.71379089355469,5.727914,0.9998438358306885,2592,3888,23952.0
a3718_1_1,0.48174670338630676,51.30260707927615,202.6927490234375,14.56469,0.9998301863670349,2592,3888,23952.0
a3718_1_3,0.35182908177375793,52.66747391608246,148.03050231933594,10.63688,0.9997498989105225,2592,3888,23952.0
a3718_1_4,0.12758654356002808,57.072720848151675,53.681461334228516,3.857335,0.9998841285705566,2592,3888,23952.0
a3718_1_5,0.37295785546302795,52.41419437453244,156.9203338623047,11.275668,0.9997541308403015,2592,3888,23952.0
a3569_1_3,2.9867711067199707,43.378782740420675,209.9373779296875,90.299312,0.9984776377677917,3888,2592,143375.0
a3569_1_1,2.142472743988037,44.82164852518174,150.59242248535156,64.773568,0.9984681010246277,3888,2592,143375.0
a3569_1_2,4.5020222663879395,41.59672625770316,316.4429626464844,136.110032,0.9976881742477417,3888,2592,143375.0
a3569_1_4,1.5249477624893188,46.29825109015914,107.18716430664062,46.10388,0.9990324974060059,3888,2592,143375.0
a3569_1_5,2.7595789432525635,43.722373810531266,193.96824645996094,83.430592,0.9974843263626099,3888,2592,143375.0
a4379_1_2,13.272991180419922,36.90111522332031,320.225830078125,837.245824,0.9766139388084412,5616,3744,871516.0
a4379_1_1,10.447068214416504,37.94085888844449,252.04727172851562,658.989696,0.975945234298706,5616,3744,871516.0
a4379_1_3,10.100582122802734,38.08733913847131,243.68789672851562,637.133696,0.9750304222106934,5616,3744,871516.0
a4379_1_4,13.33877182006836,36.879644849596566,321.8128662109375,841.3952,0.9803916811943054,5616,3744,871516.0
a4379_1_5,10.866236686706543,37.770011603638316,262.1601867675781,685.4304,0.9785023927688599,5616,3744,871516.0
a2895_1_1,0.2654639184474945,53.89073224269015,39.005184173583984,9.598903,0.999424397945404,4256,2832,82031.0
a2895_1_2,0.1930372714996338,55.27436940702841,28.36338233947754,6.98003,0.9996005296707153,4256,2832,82031.0
a2895_1_3,0.3570045828819275,52.60405353170686,52.45545196533203,12.90892,0.9995487928390503,4256,2832,82031.0
a2895_1_4,0.360758513212204,52.55862568625343,53.00702667236328,13.044658,0.9994392395019531,4256,2832,82031.0
a2895_1_5,0.41065022349357605,51.996072397663895,60.33772659301758,14.848692,0.9994964599609375,4256,2832,82031.0
a2548_1_5,3.388054609298706,42.83129830929025,86.21142578125,61.147608,0.9962745904922485,3008,2000,236425.0
a2548_1_1,9.331518173217773,38.431280081356235,237.447021484375,168.415232,0.9967716932296753,3008,2000,236425.0
a2548_1_2,2.496689558029175,44.15715642012035,63.53001403808594,45.060252,0.9962937831878662,3008,2000,236425.0
a2548_1_3,1.4371238946914673,46.55585848322885,36.568626403808594,25.937212,0.9964977502822876,3008,2000,236425.0
a2548_1_4,24.90122413635254,34.16859646026455,633.6290893554688,449.41728,0.9955205917358398,3008,2000,236425.0
a2216_1_5,1.3384443521499634,46.864797169431796,54.02288818359375,40.465304,0.999133288860321,2592,3888,249680.0
a2216_1_1,0.46944811940193176,51.414918321260984,18.948074340820312,14.192866,0.9993071556091309,2592,3888,249680.0
a2216_1_2,0.7536953091621399,49.3588397232352,30.42098617553711,22.786536,0.9993173480033875,2592,3888,249680.0
a2216_1_3,1.8204354047775269,45.529048489995475,73.47722625732422,55.037384,0.9990880489349365,2592,3888,249680.0
a2216_1_4,1.2847931385040283,47.04246814269826,51.85739517211914,38.843264,0.9992218017578125,2592,3888,249680.0
